index_shangche,label_shangche,name,lat,lon,index_xiache,label_xiache,pop_dens,age_0_19,age_20_39,age_40_59,age_60,lu_comm,lu_res,lu_work,lu_pub,dis_pop,dis_poi
3069,8,北京人家东门,40.078852,116.3025,3069,5,25257,0.13,0.39,0.26,0.22,0.05,0.57,0.23,0.15,16.72,18.52
3070,8,北京人家小区,40.076599,116.304116,3070,5,25421,0.14,0.39,0.26,0.21,0.06,0.52,0.27,0.15,16.44,18.24
3071,8,北郊农场桥西,40.074485,116.305695,3071,5,29512,0.15,0.41,0.2,0.24,0.06,0.53,0.24,0.17,16.17,17.98
3073,3,回南北路,40.085772,116.314011,3073,3,5429,0.16,0.37,0.24,0.23,0.19,0.3,0.31,0.2,17.13,19
3074,3,地铁育知路站,40.086444,116.319948,3074,3,5720,0.17,0.33,0.26,0.24,0.21,0.29,0.32,0.18,17.06,18.96
3075,3,育知东路北口,40.086152,116.325696,3075,3,5604,0.15,0.34,0.26,0.25,0.18,0.28,0.33,0.21,16.91,18.83
3076,3,云趣园二区东门,40.08305,116.326389,3076,3,5382,0.15,0.38,0.24,0.23,0.18,0.29,0.32,0.21,16.56,18.48
3077,3,东亚上北小区,40.081802,116.334454,3077,3,5892,0.16,0.34,0.25,0.25,0.2,0.3,0.33,0.17,16.27,18.22
3079,3,华龙苑中里,40.07789,116.361372,3079,3,5070,0.16,0.33,0.29,0.22,0.19,0.3,0.32,0.19,15.53,17.58
3080,3,华龙苑南里北门,40.073667,116.359645,3080,3,5400,0.14,0.34,0.3,0.22,0.2,0.31,0.31,0.18,15.07,17.12
3081,3,地铁霍营站东,40.072144,116.355886,3081,3,5194,0.14,0.33,0.32,0.21,0.19,0.29,0.35,0.17,14.93,16.96
3082,3,七里渠南村,40.0925,116.316435,3082,3,5462,0.16,0.34,0.26,0.24,0.18,0.3,0.32,0.2,17.79,19.68
3083,3,地铁朱辛庄站,40.102225,116.307257,3083,3,5265,0.14,0.33,0.28,0.25,0.17,0.29,0.36,0.18,19.05,20.91
3084,3,豆各庄新村南,40.110489,116.304394,3084,3,5688,0.15,0.35,0.25,0.25,0.19,0.29,0.33,0.19,20,21.86
3085,3,七里渠西桥,40.112204,116.313799,3085,3,5299,0.14,0.38,0.26,0.22,0.19,0.28,0.34,0.19,19.96,21.87
3086,3,七里渠,40.112898,116.32192,3086,3,5805,0.17,0.35,0.25,0.23,0.17,0.31,0.35,0.17,19.88,21.81
3087,3,七里渠东,40.113596,116.33048,3087,3,5573,0.15,0.38,0.22,0.25,0.2,0.31,0.31,0.18,19.81,21.77
3088,3,顺玮阁小区,40.114168,116.336827,3088,3,5884,0.15,0.33,0.29,0.23,0.18,0.28,0.35,0.19,19.78,21.76
3089,3,白各庄西,40.114691,116.341635,3089,3,5154,0.15,0.35,0.25,0.25,0.19,0.27,0.34,0.2,19.77,21.78
3090,3,白各庄,40.115104,116.345467,3090,3,5143,0.15,0.33,0.29,0.23,0.2,0.29,0.31,0.2,19.78,21.79
3091,3,白各庄村委会,40.115142,116.350816,3091,3,5379,0.15,0.34,0.27,0.24,0.19,0.3,0.33,0.18,19.73,21.76
3092,3,宏福苑小区西,40.11452,116.358413,3092,3,5105,0.16,0.38,0.23,0.23,0.19,0.28,0.36,0.17,19.61,21.66
3093,3,宏福苑小区,40.11418,116.361438,3093,3,5197,0.16,0.36,0.25,0.23,0.18,0.29,0.33,0.2,19.56,21.61
3094,3,宏福苑小区东,40.113896,116.364813,3094,3,5878,0.17,0.36,0.24,0.23,0.21,0.28,0.32,0.19,19.52,21.58
3095,3,西沙各庄西,40.115491,116.379566,3095,3,5612,0.16,0.37,0.24,0.23,0.2,0.28,0.34,0.18,19.69,21.78
3096,3,西沙各庄,40.114637,116.386991,3096,3,5267,0.15,0.37,0.25,0.23,0.18,0.3,0.33,0.19,19.62,21.72
3097,3,西沙各庄东,40.113265,116.39554,3097,3,5386,0.16,0.34,0.27,0.23,0.18,0.28,0.34,0.2,19.53,21.64
3098,3,冠雅苑,40.114676,116.401611,3098,3,5920,0.16,0.33,0.27,0.24,0.18,0.29,0.35,0.18,19.74,21.86
3099,3,北七家西口,40.115162,116.406975,3099,3,5022,0.15,0.36,0.27,0.22,0.19,0.28,0.33,0.2,19.85,21.98
3100,3,望都家园,40.11556,116.411477,3100,3,5594,0.16,0.32,0.31,0.21,0.2,0.3,0.33,0.17,19.96,22.08
3101,3,瑶光路南口,40.117585,116.416933,3101,3,5277,0.16,0.36,0.26,0.22,0.2,0.29,0.32,0.19,20.26,22.39
3102,3,瑶光路,40.122031,116.416193,3102,3,5711,0.15,0.32,0.29,0.24,0.17,0.28,0.36,0.19,20.73,22.86
3103,3,天宣街,40.124235,116.418274,3103,3,5308,0.15,0.34,0.27,0.24,0.17,0.3,0.33,0.2,21.01,23.14
3104,3,北亚花园南站,40.126864,116.41818,3104,3,5478,0.16,0.34,0.26,0.24,0.18,0.3,0.33,0.19,21.29,23.42
3105,3,北亚花园东门,40.128224,116.417642,3105,3,5794,0.16,0.33,0.28,0.23,0.17,0.3,0.34,0.19,21.43,23.56
3106,3,八仙庄西,40.131839,116.422228,3106,3,5545,0.17,0.32,0.27,0.24,0.17,0.29,0.35,0.19,21.9,24.03
3108,6,安慧里五区,39.991857,116.410982,3108,5,15211,0.15,0.42,0.2,0.23,0.11,0.41,0.32,0.16,6.75,8.83
3109,3,九台庄园东站,40.077197,116.385737,3109,3,5206,0.16,0.36,0.27,0.21,0.19,0.27,0.35,0.19,15.46,17.57
3110,3,回南家园,40.083261,116.381446,3110,3,5685,0.16,0.33,0.27,0.24,0.18,0.3,0.35,0.17,16.11,18.21
3111,3,狮子营,40.078113,116.424469,3111,7,5134,0.17,0.43,0.15,0.25,0.2,0.16,0.5,0.14,16.13,18.26
3112,3,天通北苑三区北门,40.078091,116.428155,3112,7,5038,0.16,0.38,0.24,0.22,0.18,0.16,0.48,0.18,16.21,18.34
3113,3,七星路南口,40.079825,116.431302,3113,7,5645,0.17,0.38,0.23,0.22,0.19,0.19,0.46,0.16,16.48,18.61
3114,3,燕城苑路口南,40.086501,116.428565,3114,7,5827,0.14,0.41,0.23,0.22,0.19,0.16,0.5,0.15,17.12,19.25
3115,3,燕城苑,40.087475,116.431561,3115,3,5895,0.16,0.37,0.25,0.22,0.18,0.31,0.33,0.18,17.3,19.43
3116,3,燕丹村北口,40.087403,116.434387,3116,3,5388,0.16,0.32,0.28,0.24,0.17,0.29,0.36,0.18,17.36,19.49
3117,3,燕丹村,40.084289,116.43988,3117,3,5683,0.16,0.34,0.29,0.21,0.21,0.28,0.33,0.18,17.18,19.3
3118,5,科荟桥西,40.006583,116.35097,3118,5,11509,0.16,0.43,0.2,0.21,0.13,0.34,0.38,0.15,7.8,9.74
3119,5,科荟桥东,40.008145,116.36254,3119,5,11054,0.14,0.41,0.24,0.21,0.13,0.36,0.36,0.15,7.8,9.83
3120,5,林萃路口西,40.00837,116.368182,3120,5,11658,0.14,0.38,0.26,0.22,0.13,0.32,0.39,0.16,7.78,9.84
3121,8,大屯北路,40.003742,116.395164,3121,7,26347,0.16,0.38,0.25,0.21,0.06,0.5,0.28,0.16,7.49,9.63
3122,8,慧忠北里社区,40.003811,116.398084,3122,7,28689,0.15,0.37,0.27,0.21,0.07,0.5,0.28,0.15,7.57,9.7
3123,8,中灿苑小区南门,40.004562,116.404086,3123,7,25239,0.14,0.43,0.2,0.23,0.07,0.47,0.3,0.16,7.81,9.93
3124,8,大屯北路东口,40.005013,116.407938,3124,7,25811,0.15,0.38,0.27,0.2,0.07,0.49,0.31,0.13,7.97,10.08
3125,6,地铁北苑站,40.04296,116.426692,3125,5,16542,0.15,0.37,0.27,0.21,0.1,0.4,0.33,0.17,12.48,14.59
3126,6,地铁北苑路北站,40.028306,116.411649,3126,5,16028,0.15,0.39,0.22,0.24,0.11,0.42,0.32,0.15,10.51,12.64
